state,updated,cases,deaths,recovered,casesPerOneMillion,deathsPerOneMillion,population,cases_per_100k,deaths_per_100k,fatality_rate
California,1770759035880,12711918,112443,0,321721,2846,39512223,32172.115448933357,284.5777621775419,0.884547870746177
Texas,1770759035880,9190299,104793,0,316952,3614,28995881,31695.188016532415,361.4065045997395,1.1402566989387397
Florida,1770759035880,8048191,95206,0,374722,4433,21477737,37472.248589318326,443.27761346551546,1.1829490627148387
New York,1770759035880,7587861,83374,0,390050,4286,19453561,39004.99759401376,428.5796312562004,1.098781329810865
Illinois,1770759035880,4136659,42005,0,326446,3315,12671821,32644.550455692202,331.4835334242805,1.0154329858951392
Ohio,1770759035880,3741277,43896,3684603,320065,3755,11689100,32006.54455860588,375.5293392990051,1.1732892271809867
Pennsylvania,1770759035880,3565499,51480,0,278511,4021,12801989,27851.13313251558,402.12501354281744,1.4438371739832208
North Carolina,1770759035880,3501404,29059,0,333846,2771,10488084,33384.591504034484,277.0668122032585,0.8299242246824416
Michigan,1770759035880,3306221,44762,0,331057,4482,9986857,33105.720848911726,448.2090811954152,1.3538719885936241
New Jersey,1770759035880,3295020,36873,0,370969,4151,8882190,37096.932175510774,415.13410544021235,1.119052388149389
Georgia,1770759035880,3287483,44069,0,309631,4151,10617423,30963.097165856536,415.06305249399975,1.3405088330494788
Tennessee,1770759035880,2729641,30729,0,399703,4500,6829174,39970.29508986006,449.9665698955687,1.1257524341112988
Arizona,1770759035880,2607545,34402,0,358242,4726,7278717,35824.239354270816,472.63824105264706,1.3193252657192878
Massachusetts,1770759035880,2367542,25586,0,343495,3712,6892503,34349.52440354397,371.2149272912902,1.0806988851728923
Virginia,1770759035880,2315784,23748,0,271311,2782,8535519,27131.14457363401,278.2256122914143,1.025484242053663
Indiana,1770759035880,2208419,28018,0,328037,4162,6732219,32803.73083525655,416.17778625442816,1.2686904070287386
Washington,1770759035880,2070848,17339,0,271947,2277,7614893,27194.709104907975,227.69853758943165,0.8372898445467749
Wisconsin,1770759035880,2043838,16758,0,351028,2878,5822434,35102.810955006105,287.81777517787236,0.8199279982072942
Minnesota,1770759035880,1900794,16458,0,337042,2918,5639632,33704.22041721871,291.82755186863255,0.8658486927042068
Colorado,1770759035880,1874746,15552,0,325548,2701,5758736,32554.817584970035,270.0592630049372,0.8295523766952964
South Carolina,1770759035881,1857853,20311,0,360838,3945,5148714,36083.825980623515,394.48685632956114,1.0932511883340608
Kentucky,1770759035881,1808735,19183,0,404849,4294,4467673,40484.945966278196,429.373412064849,1.0605754850765865
Missouri,1770759035881,1780715,22778,0,290140,3711,6137428,29014.026722594543,371.13266338928946,1.2791491058367004
Louisiana,1770759035881,1684058,19270,0,362257,4145,4648794,36225.69638491187,414.5161089091063,1.144259877035114
Alabama,1770759035881,1659936,21138,0,338542,4311,4903185,33854.23964219176,431.10753520415807,1.273422589786594
Maryland,1770759035881,1451442,17929,0,240079,2966,6045680,24007.919704648608,296.55886517314843,1.2352543194974377
Oklahoma,1770759035881,1306350,16157,1288527,330139,4083,3956971,33013.88865372023,408.3173720504901,1.2368048379071457
Utah,1770759035881,1137615,5719,0,354844,1784,3205958,35484.401230459036,178.3866164185557,0.5027184064907724
Arkansas,1770759035881,1062606,13246,0,352112,4389,3017804,35211.23306881428,438.92843935523973,1.246557990449894
Iowa,1770759035881,1058274,10797,0,335420,3422,3155070,33542.013330924514,342.21110783595924,1.0202461744311964
Mississippi,1770759035881,1000415,13474,0,336144,4527,2976149,33614.412450451906,452.7327092830366,1.3468410609597017
Oregon,1770759035881,992925,9764,0,235417,2315,4217737,23541.652786790644,231.49855005184062,0.9833572525618752
Connecticut,1770759035881,983652,12354,0,275897,3465,3565287,27589.700352313852,346.5078687914886,1.2559319759427114
Kansas,1770759035881,946564,10229,934730,324910,3511,2913314,32490.970763879213,351.1121698519281,1.0806453657650195
Nevada,1770759035881,923059,12485,0,299679,4053,3080156,29967.93019574333,405.3366128209091,1.3525679290272885
New Mexico,1770759035881,725653,9623,0,346072,4589,2096829,34607.16157588435,458.93108117066294,1.3261159259315403
West Virginia,1770759035881,703856,8247,0,392745,4602,1792147,39274.456838641025,460.1743048979799,1.1716885271987452
Nebraska,1770759035881,574399,5063,566979,296938,2617,1934408,29693.787453319055,261.7338224407674,0.8814430387239532
Idaho,1770759035881,525825,5482,0,294239,3068,1787065,29423.943728963415,306.75996676114187,1.042552179907764
Rhode Island,1770759035881,443803,4166,0,418935,3933,1059361,41893.46219088677,393.2559344737063,0.9387047856819354
Hawaii,1770759035881,418369,2167,0,295485,1531,1415872,29548.504384577136,153.050558242553,0.5179638070698355
New Hampshire,1770759035881,382013,3329,0,280952,2448,1359711,28095.16139826772,244.83143844537554,0.8714363123768039
Delaware,1770759035881,350706,3663,0,360155,3762,973764,36015.502729614156,376.1691744611631,1.044464594275547
Maine,1770759035881,346182,3394,0,257535,2525,1344212,25753.526973423835,252.48993462340763,0.9804091489447747
Montana,1770759035881,333758,3712,329725,312280,3473,1068778,31228.000576359173,347.3125382446121,1.1121830787576628
North Dakota,1770759035881,309990,2513,0,406778,3298,762062,40677.79262054794,329.76319512060695,0.8106713119778057
Alaska,1770759035881,301513,1485,0,412159,2030,731545,41215.91973152711,202.99503106439113,0.4925160772504005
South Dakota,1770759035881,282895,3231,0,319779,3652,884659,31977.85813516847,365.22547105720963,1.1421198677954718
Wyoming,1770759035882,196126,2126,0,338873,3673,578759,33887.33479738544,367.33770014807544,1.0839970223223847
District Of Columbia,1770759035882,178747,1434,0,253273,2032,705749,25327.276411302035,203.1883856725266,0.8022512265940128
Vermont,1770759035882,155080,1139,0,248530,1825,623989,24853.002216385226,182.53526905121726,0.7344596337374258
Puerto Rico,1770759035882,1473460,7326,0,435042,2163,3386941,43504.153157672365,216.30137637472868,0.4971970735547623
