date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2020-01-22,1,0,0.0,0.0,,,0.0
2020-01-23,1,0,0.0,0.0,,,0.0
2020-01-24,2,0,1.0,0.0,,,0.0
2020-01-25,2,0,0.0,0.0,0.5714285714285714,0.0,0.0
2020-01-26,5,0,3.0,0.0,0.7142857142857143,0.0,0.0
2020-01-27,5,0,0.0,0.0,0.7142857142857143,0.0,0.0
2020-01-28,5,0,0.0,0.0,0.8571428571428571,0.0,0.0
2020-01-29,6,0,1.0,0.0,0.8571428571428571,0.0,0.0
2020-01-30,6,0,0.0,0.0,0.42857142857142855,0.0,0.0
2020-01-31,8,0,2.0,0.0,0.8571428571428571,0.0,0.0
2020-02-01,8,0,0.0,0.0,0.8571428571428571,0.0,0.0
2020-02-02,8,0,0.0,0.0,0.7142857142857143,0.0,0.0
2020-02-03,11,0,3.0,0.0,0.8571428571428571,0.0,0.0
2020-02-04,11,0,0.0,0.0,0.5714285714285714,0.0,0.0
2020-02-05,11,0,0.0,0.0,0.5714285714285714,0.0,0.0
2020-02-06,12,0,1.0,0.0,0.5714285714285714,0.0,0.0
2020-02-07,12,0,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-08,12,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-09,12,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-10,12,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-11,13,0,1.0,0.0,0.2857142857142857,0.0,0.0
2020-02-12,13,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-13,14,0,1.0,0.0,0.2857142857142857,0.0,0.0
2020-02-14,14,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-15,14,0,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-16,14,0,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-17,14,0,0.0,0.0,0.0,0.0,0.0
2020-02-18,14,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-19,14,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-20,14,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-21,16,0,2.0,0.0,0.2857142857142857,0.0,0.0
2020-02-22,16,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-23,16,0,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-24,16,0,0.0,0.0,0.42857142857142855,0.0,0.0
2020-02-25,16,0,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-26,16,0,0.0,0.0,1.2857142857142858,0.14285714285714285,0.0
2020-02-27,17,0,1.0,0.0,2.2857142857142856,0.14285714285714285,0.0
2020-02-28,17,0,0.0,0.0,5.571428571428571,0.8571428571428571,0.0
2020-02-29,25,1,8.0,1.0,8.285714285714286,1.0,4.0
2020-03-01,32,1,7.0,0.0,13.0,1.5714285714285714,3.125
2020-03-02,55,6,23.0,5.0,23.857142857142858,1.7142857142857142,10.909090909090908
2020-03-03,74,7,19.0,1.0,31.428571428571427,2.0,9.45945945945946
2020-03-04,107,11,33.0,4.0,54.0,2.2857142857142856,10.2803738317757
2020-03-05,184,12,77.0,1.0,69.57142857142857,2.857142857142857,6.521739130434782
2020-03-06,237,14,53.0,2.0,77.0,2.2857142857142856,5.9071729957805905
2020-03-07,403,17,166.0,3.0,101.14285714285714,3.0,4.218362282878412
2020-03-08,519,21,116.0,4.0,148.57142857142858,3.142857142857143,4.046242774566474
2020-03-09,594,22,75.0,1.0,200.28571428571428,4.428571428571429,3.7037037037037033
2020-03-10,782,28,188.0,6.0,283.14285714285717,5.285714285714286,3.580562659846547
2020-03-11,1147,33,365.0,5.0,367.85714285714283,5.857142857142857,2.877070619006103
2020-03-12,1586,43,439.0,10.0,384.7142857142857,7.0,2.711223203026482
2020-03-13,2219,51,633.0,8.0,583.5714285714286,10.714285714285714,2.298332582244254
2020-03-14,2978,58,759.0,7.0,818.5714285714286,15.142857142857142,1.9476158495634655
2020-03-15,3212,70,234.0,12.0,1146.0,23.0,2.179327521793275
2020-03-16,4679,97,1467.0,27.0,1725.2857142857142,31.857142857142858,2.0730925411412695
2020-03-17,6512,134,1833.0,37.0,2544.4285714285716,45.857142857142854,2.057739557739558
2020-03-18,9169,194,2657.0,60.0,3292.4285714285716,59.57142857142857,2.1158250627113095
2020-03-19,13663,266,4494.0,72.0,4533.142857142857,76.14285714285714,1.9468637927248775
2020-03-20,20030,372,6367.0,106.0,5916.714285714285,99.0,1.8572141787319023
2020-03-21,26025,475,5995.0,103.0,7171.714285714285,128.42857142857142,1.8251681075888568
2020-03-22,34944,603,8919.0,128.0,8524.57142857143,167.42857142857142,1.725618131868132
2020-03-23,46096,790,11152.0,187.0,10428.42857142857,216.71428571428572,1.7138146476917737
2020-03-24,56714,1033,10618.0,243.0,12174.714285714286,276.14285714285717,1.8214197552632507
2020-03-25,68841,1366,12127.0,333.0,14484.57142857143,363.2857142857143,1.9842826222745167
2020-03-26,86662,1783,17821.0,417.0,15514.285714285714,424.2857142857143,2.0574184763794974
2020-03-27,105253,2305,18591.0,522.0,17086.0,498.57142857142856,2.1899613312684676
2020-03-28,127417,3018,22164.0,713.0,19337.85714285714,618.0,2.368600736165504
2020-03-29,143544,3573,16127.0,555.0,22723.14285714286,804.2857142857143,2.4891322521317507
2020-03-30,165698,4280,22154.0,707.0,24788.714285714286,967.5714285714286,2.5830124684667286
2020-03-31,192079,5359,26381.0,1079.0,26768.14285714286,1097.142857142857,2.789997865461607
